R00465	1.1.1.79	glyoxylate reductase (NADP+)	1.1.1
R00466	1.2.3.5	glyoxylate oxidase	1.2.3
R00468	1.2.1.17	glyoxylate dehydrogenase (acylating)	1.2.1
R00469	3.5.1.116	ureidoglycolate amidohydrolase	3.5.1
R00470	4.1.3.16	4-hydroxy-2-oxoglutarate aldolase	4.1.3
R00470	4.1.3.42	(4S)-4-hydroxy-2-oxoglutarate aldolase	4.1.3
R00471	4.1.3.16	4-hydroxy-2-oxoglutarate aldolase	4.1.3
R00472	2.3.3.9	malate synthase	2.3.3
R00473	4.1.3.24	malyl-CoA lyase	4.1.3
R00474	2.2.1.5	2-hydroxy-3-oxoadipate synthase	2.2.1
R00475	1.1.3.15	(S)-2-hydroxy-acid oxidase	1.1.3
R00477	4.1.3.13	oxalomalate lyase	4.1.3
R00478	4.1.3.14	L-erythro-3-hydroxyaspartate aldolase	4.1.3
R00479	4.1.3.1	isocitrate lyase	4.1.3
R00480	2.7.2.4	aspartate kinase	2.7.2
R00481	1.4.3.16	L-aspartate oxidase	1.4.3
R00482	6.3.1.4	aspartate---ammonia ligase (ADP-forming)	6.3.1
R00483	6.3.1.1	aspartate---ammonia ligase	6.3.1
R00483	6.3.5.4	asparagine synthase (glutamine-hydrolysing)	6.3.5
R00484	3.5.1.7	ureidosuccinase	3.5.1
R00485	3.5.1.1	asparaginase	3.5.1
R00485	3.5.1.38	glutamin-(asparagin-)ase	3.5.1
R00485	3.5.5.4	cyanoalanine nitrilase	3.5.5
R00486	3.5.5.4	cyanoalanine nitrilase	3.5.5
R00487	2.3.1.17	aspartate N-acetyltransferase	2.3.1
R00488	3.5.1.15	aspartoacylase	3.5.1
R00489	4.1.1.11	aspartate 1-decarboxylase	4.1.1
R00489	4.1.1.15	glutamate decarboxylase	4.1.1
R00490	4.3.1.1	aspartate ammonia-lyase	4.3.1
R00491	5.1.1.13	aspartate racemase	5.1.1
R00494	3.4.19.13	glutathione gamma-glutamate hydrolase	3.4.19
R00497	6.3.2.3	glutathione synthase	6.3.2
R00499	3.1.2.13	S-succinylglutathione hydrolase	3.1.2
R00501	1.1.1.-		1.1.1
R00502	2.7.7.10	UTP---hexose-1-phosphate uridylyltransferase	2.7.7
R00502	2.7.7.64	UTP-monosaccharide-1-phosphate uridylyltransferase	2.7.7
R00503	2.4.1.22	lactose synthase	2.4.1
R00504	2.7.8.18	UDP-galactose---UDP-N-acetylglucosamine galactose phosphotransferase	2.7.8
R00505	5.4.99.9	UDP-galactopyranose mutase	5.4.99
R00506	2.4.1.-		2.4.1
R00507	3.6.2.2	phosphoadenylylsulfatase	3.6.2
R00508	3.1.3.7	3'(2'),5'-bisphosphate nucleotidase	3.1.3
R00509	2.7.1.25	adenylyl-sulfate kinase	2.7.1
R00510	3.2.2.10	pyrimidine-5'-nucleotide nucleosidase	3.2.2
R00511	3.1.3.5	5'-nucleotidase	3.1.3
R00511	3.1.3.91	7-methylguanosine nucleotidase	3.1.3
R00512	2.7.4.14	UMP/CMP kinase	2.7.4
R00512	2.7.4.25	(d)CMP kinase	2.7.4
R00513	2.7.1.48	uridine/cytidine kinase	2.7.1
R00513	2.7.1.213	cytidine kinase	2.7.1
R00514	3.6.1.5	apyrase	3.6.1
R00515	3.6.1.8	ATP diphosphatase	3.6.1
R00515	3.6.1.9	nucleotide diphosphatase	3.6.1
R00515	3.6.1.65	(d)CTP diphosphatase	3.6.1
R00516	2.7.1.48	uridine/cytidine kinase	2.7.1
R00517	2.7.1.48	uridine/cytidine kinase	2.7.1
R00518	2.7.2.6	formate kinase	2.7.2
R00519	1.17.1.9	formate dehydrogenase	1.17.1
R00521	3.1.2.10	formyl-CoA hydrolase	3.1.2
R00522	4.1.1.2	oxalate decarboxylase	4.1.1
R00524	3.5.1.49	formamidase	3.5.1
R00525	3.5.1.68	N-formylglutamate deformylase	3.5.1
R00526	3.5.1.8	formylaspartate deformylase	3.5.1
R00526	3.5.1.15	aspartoacylase	3.5.1
R00527	3.1.2.12	S-formylglutathione hydrolase	3.1.2
R00528	1.8.2.1	sulfite dehydrogenase (cytochrome)	1.8.2
R00529	2.7.7.4	sulfate adenylyltransferase	2.7.7
R00530	2.7.7.5	sulfate adenylyltransferase (ADP)	2.7.7
R00531	3.6.2.1	adenylylsulfatase	3.6.2
R00532	4.3.1.10	serine-sulfate ammonia-lyase	4.3.1
R00533	1.8.3.1	sulfite oxidase	1.8.3
R00534	3.1.6.3	glycosulfatase	3.1.6
R00535	2.8.2.15	steroid sulfotransferase	2.8.2
R00536	2.8.2.15	steroid sulfotransferase	2.8.2
R00537	2.8.2.15	steroid sulfotransferase	2.8.2
R00548	3.1.3.2	acid phosphatase	3.1.3
R00548	3.1.3.102	FMN hydrolase	3.1.3
R00549	2.7.1.26	riboflavin kinase	2.7.1
R00550	2.7.1.42	riboflavin phosphotransferase	2.7.1
R00551	3.5.3.1	arginase	3.5.3
R00552	3.5.3.6	arginine deiminase	3.5.3
R00554	2.7.3.3	arginine kinase	2.7.3
R00557	1.14.13.39	nitric-oxide synthase (NADPH)	1.14.13
R00558	1.14.13.39	nitric-oxide synthase (NADPH)	1.14.13
R00559	1.13.12.1	arginine 2-monooxygenase	1.13.12
R00562	1.5.1.11	D-octopine dehydrogenase	1.5.1
R00563	1.5.1.19	D-nopaline dehydrogenase	1.5.1
R00565	2.1.4.1	glycine amidinotransferase	2.1.4
R00566	4.1.1.19	arginine decarboxylase	4.1.1
R00567	5.1.1.9	arginine racemase	5.1.1
R00568	3.5.4.13	dCTP deaminase	3.5.4
R00569	3.6.1.5	apyrase	3.6.1
R00570	2.7.4.6	nucleoside-diphosphate kinase	2.7.4
R00571	6.3.4.2	CTP synthase (glutamine hydrolysing)	6.3.4
R00572	2.7.1.40	pyruvate kinase	2.7.1
R00573	6.3.4.2	CTP synthase (glutamine hydrolysing)	6.3.4
R00574	4.6.1.6	cytidylate cyclase	4.6.1
R00575	6.3.5.5	carbamoyl-phosphate synthase (glutamine-hydrolysing)	6.3.5
R00576	2.6.1.15	glutamine---pyruvate transaminase	2.6.1
R00578	6.3.5.4	asparagine synthase (glutamine-hydrolysing)	6.3.5
R00579	5.1.1.10	amino-acid racemase	5.1.1
R00581	1.4.1.7	serine 2-dehydrogenase	1.4.1
R00582	3.1.3.3	phosphoserine phosphatase	3.1.3
R00584	2.7.1.80	diphosphate---serine phosphotransferase	2.7.1
R00585	2.6.1.51	serine---pyruvate transaminase	2.6.1
R00586	2.3.1.30	serine O-acetyltransferase	2.3.1
R00588	2.6.1.45	serine---glyoxylate transaminase	2.6.1
R00589	5.1.1.10	amino-acid racemase	5.1.1
R00589	5.1.1.18	serine racemase	5.1.1
R00590	4.3.1.17	L-serine ammonia-lyase	4.3.1
R00602	1.11.1.6	catalase	1.11.1
R00602	1.11.1.7	peroxidase	1.11.1
R00602	1.11.1.21	catalase-peroxidase	1.11.1
R00603	4.5.1.3	dichloromethane dehalogenase	4.5.1
R00604	1.2.1.46	formaldehyde dehydrogenase	1.2.1
R00605	1.1.1.244	methanol dehydrogenase	1.1.1
R00608	1.1.3.13	alcohol oxidase	1.1.3
R00610	1.5.3.1	sarcosine oxidase	1.5.3
R00612	1.5.3.4	N6-methyl-lysine oxidase	1.5.3
R00614	1.2.98.1	formaldehyde dismutase	1.2.98
R00615	3.6.1.15	nucleoside-triphosphate phosphatase	3.6.1
R00615	3.6.1.-		3.6.1
R00616	2.7.4.15	thiamine-diphosphate kinase	2.7.4
R00617	2.7.4.16	thiamine-phosphate kinase	2.7.4
R00618	3.6.1.28	thiamine-triphosphatase	3.6.1
R00619	2.7.6.2	thiamine diphosphokinase	2.7.6
R00621	1.2.4.2	oxoglutarate dehydrogenase (succinyl-transferring)	1.2.4
R00640	1.3.2.3	L-galactonolactone dehydrogenase	1.3.2
R00643	1.3.3.12	L-galactonolactone oxidase	1.3.3
R00644	1.11.1.11	L-ascorbate peroxidase	1.11.1
R00647	1.1.3.8	L-gulonolactone oxidase	1.1.3
R00648	1.4.3.2	L-amino-acid oxidase	1.4.3
R00649	2.1.1.12	methionine S-methyltransferase	2.1.1
R00650	2.1.1.10	homocysteine S-methyltransferase	2.1.1
R00651	2.5.1.49	O-acetylhomoserine aminocarboxypropyltransferase	2.5.1
R00652	2.6.1.73	methionine---glyoxylate transaminase	2.6.1
R00653	3.5.1.31	formylmethionine deformylase	3.5.1
R00654	4.4.1.11	methionine gamma-lyase	4.4.1
R00655	5.1.1.2	methionine racemase	5.1.1
R00656	4.1.1.57	methionine decarboxylase	4.1.1
R00658	4.2.1.11	phosphopyruvate hydratase	4.2.1
R00659	2.7.1.40	pyruvate kinase	2.7.1
R00660	2.5.1.7	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	2.5.1
R00661	5.4.2.9	phosphoenolpyruvate mutase	5.4.2
R00662	3.6.1.8	ATP diphosphatase	3.6.1
R00662	3.6.1.9	nucleotide diphosphatase	3.6.1
R00664	2.3.1.127	ornithine N-benzoyltransferase	2.3.1
R00665	3.5.1.20	citrullinase	3.5.1
R00666	1.5.1.24	N5-(carboxyethyl)ornithine synthase	1.5.1
R00667	2.6.1.13	ornithine aminotransferase	2.6.1
R00668	2.6.1.13	ornithine aminotransferase	2.6.1
R00669	3.5.1.14	N-acyl-aliphatic-L-amino acid amidohydrolase	3.5.1
R00669	3.5.1.16	acetylornithine deacetylase	3.5.1
R00670	4.1.1.17	ornithine decarboxylase	4.1.1
R00671	4.3.1.12	ornithine cyclodeaminase	4.3.1
R00672	5.1.1.9	arginine racemase	5.1.1
R00672	5.1.1.10	amino-acid racemase	5.1.1
R00672	5.1.1.12	ornithine racemase	5.1.1
R00673	4.1.99.1	tryptophanase	4.1.99
R00674	4.2.1.20	tryptophan synthase	4.2.1
R00674	4.2.1.122	tryptophan synthase (indole-salvaging)	4.2.1
R00675	1.4.1.19	tryptophan dehydrogenase	1.4.1
R00676	1.4.1.19	tryptophan dehydrogenase	1.4.1
R00677	1.4.3.2	L-amino-acid oxidase	1.4.3
R00678	1.13.11.11	tryptophan 2,3-dioxygenase	1.13.11
R00678	1.13.11.52	indoleamine 2,3-dioxygenase	1.13.11
R00679	1.13.12.3	tryptophan 2-monooxygenase	1.13.12
R00681	1.13.99.3	tryptophan 2'-dioxygenase	1.13.99
R00682	3.5.1.57	tryptophanamidase	3.5.1
R00684	2.6.1.27	tryptophan transaminase	2.6.1
R00685	4.1.1.28	aromatic-L-amino-acid decarboxylase	4.1.1
R00685	4.1.1.105	L-tryptophan decarboxylase	4.1.1
R00686	5.1.1.11	phenylalanine racemase (ATP-hydrolysing)	5.1.1
R00688	1.4.1.20	phenylalanine dehydrogenase	1.4.1
R00689	1.4.3.2	L-amino-acid oxidase	1.4.3
R00690	1.13.12.9	phenylalanine 2-monooxygenase	1.13.12
R00691	4.2.1.51	prephenate dehydratase	4.2.1
R00691	4.2.1.91	arogenate dehydratase	4.2.1
R00692	2.6.1.58	phenylalanine(histidine) transaminase	2.6.1
R00693	2.3.1.53	phenylalanine N-acetyltransferase	2.3.1
R00694	2.6.1.1	aspartate transaminase	2.6.1
R00694	2.6.1.5	tyrosine transaminase	2.6.1
R00694	2.6.1.9	histidinol-phosphate transaminase	2.6.1
R00694	2.6.1.57	aromatic-amino-acid transaminase	2.6.1
R00695	2.6.1.70	aspartate---phenylpyruvate transaminase	2.6.1
R00697	4.3.1.24	phenylalanine ammonia-lyase	4.3.1
R00697	4.3.1.25	phenylalanine/tyrosine ammonia-lyase	4.3.1
R00698	1.11.1.21	catalase-peroxidase	1.11.1
R00699	4.1.1.28	aromatic-L-amino-acid decarboxylase	4.1.1
R00699	4.1.1.53	phenylalanine decarboxylase	4.1.1
R00700	1.12.1.2	hydrogen dehydrogenase	1.12.1
R00700	1.12.1.5	hydrogen dehydrogenase [NAD(P)+]	1.12.1
R00702	2.5.1.21	squalene synthase	2.5.1
R00702	2.5.1.96	4,4'-diapophytoene synthase	2.5.1
R00702	2.5.1.103	presqualene diphosphate synthase	2.5.1
R00703	1.1.1.27	L-lactate dehydrogenase	1.1.1
R00704	1.1.1.28	D-lactate dehydrogenase	1.1.1
R00705	1.2.1.18	malonate-semialdehyde dehydrogenase (acetylating)	1.2.1
R00705	1.2.1.27	methylmalonate-semialdehyde dehydrogenase (CoA-acylating)	1.2.1
R00706	1.2.1.18	malonate-semialdehyde dehydrogenase (acetylating)	1.2.1
R00707	1.2.1.88	L-glutamate gamma-semialdehyde dehydrogenase	1.2.1
R00708	1.2.1.88	L-glutamate gamma-semialdehyde dehydrogenase	1.2.1
R00709	1.1.1.41	isocitrate dehydrogenase (NAD+)	1.1.1
R00709	1.1.1.286	isocitrate---homoisocitrate dehydrogenase	1.1.1
R00710	1.2.1.3	aldehyde dehydrogenase (NAD+)	1.2.1
R00710	1.2.1.5	aldehyde dehydrogenase [NAD(P)+]	1.2.1
R00711	1.2.1.4	aldehyde dehydrogenase (NADP+)	1.2.1
R00711	1.2.1.5	aldehyde dehydrogenase [NAD(P)+]	1.2.1
R00711	1.2.1.-		1.2.1
R00713	1.2.1.16	succinate-semialdehyde dehydrogenase [NAD(P)+]	1.2.1
R00713	1.2.1.24	succinate-semialdehyde dehydrogenase (NAD+)	1.2.1
R00714	1.2.1.16	succinate-semialdehyde dehydrogenase [NAD(P)+]	1.2.1
R00714	1.2.1.79	succinate-semialdehyde dehydrogenase (NADP+)	1.2.1
R00715	1.5.1.7	saccharopine dehydrogenase (NAD+, L-lysine-forming)	1.5.1
R00716	1.5.1.8	saccharopine dehydrogenase (NADP+, L-lysine-forming)	1.5.1
R00717	1.1.1.26	glyoxylate reductase	1.1.1
R00717	1.1.1.29	glycerate dehydrogenase	1.1.1
R00719	3.6.1.5	apyrase	3.6.1
R00719	3.6.1.73	inosine/xanthosine triphosphatase	3.6.1
R00720	3.6.1.8	ATP diphosphatase	3.6.1
R00720	3.6.1.66	XTP/dITP diphosphatase	3.6.1
R00720	3.6.1.-		3.6.1
R00722	2.7.4.6	nucleoside-diphosphate kinase	2.7.4
R00723	3.6.1.14	adenosine-tetraphosphatase	3.6.1
R00724	2.7.1.40	pyruvate kinase	2.7.1
R00725	2.7.1.1	hexokinase	2.7.1
R00726	4.1.1.32	phosphoenolpyruvate carboxykinase (GTP)	4.1.1
R00727	6.2.1.4	succinate---CoA ligase (GDP-forming)	6.2.1
R00728	4.1.99.2	tyrosine phenol-lyase	4.1.99
R00729	1.4.3.2	L-amino-acid oxidase	1.4.3
R00731	1.14.18.1	tyrosinase	1.14.18
R00732	1.3.1.43	arogenate dehydrogenase	1.3.1
R00732	1.3.1.79	arogenate dehydrogenase [NAD(P)+]	1.3.1
R00733	1.3.1.78	arogenate dehydrogenase (NADP+)	1.3.1
R00733	1.3.1.79	arogenate dehydrogenase [NAD(P)+]	1.3.1
R00734	2.6.1.1	aspartate transaminase	2.6.1
R00734	2.6.1.5	tyrosine transaminase	2.6.1
R00734	2.6.1.9	histidinol-phosphate transaminase	2.6.1
R00734	2.6.1.57	aromatic-amino-acid transaminase	2.6.1
R00735	6.3.2.24	tyrosine---arginine ligase	6.3.2
R00736	4.1.1.25	tyrosine decarboxylase	4.1.1
R00736	4.1.1.28	aromatic-L-amino-acid decarboxylase	4.1.1
R00737	4.3.1.23	tyrosine ammonia-lyase	4.3.1
R00737	4.3.1.25	phenylalanine/tyrosine ammonia-lyase	4.3.1
R00739	5.4.3.6	tyrosine 2,3-aminomutase	5.4.3
R00740	1.2.1.75	malonyl-CoA reductase (malonate semialdehyde-forming)	1.2.1
R00742	6.4.1.2	acetyl-CoA carboxylase	6.4.1
R00743	2.8.3.3	malonate CoA-transferase	2.8.3
R00746	1.1.1.2	alcohol dehydrogenase (NADP+)	1.1.1
R00746	1.1.1.71	alcohol dehydrogenase [NAD(P)+]	1.1.1
R00747	3.11.1.1	phosphonoacetaldehyde hydrolase	3.11.1
R00748	4.2.3.2	ethanolamine-phosphate phospho-lyase	4.2.3
R00749	4.3.1.7	ethanolamine ammonia-lyase	4.3.1
R00750	4.1.3.39	4-hydroxy-2-oxovalerate aldolase	4.1.3
R00751	4.1.2.5	L-threonine aldolase	4.1.2
R00751	4.1.2.48	low-specificity L-threonine aldolase	4.1.2
R00753	4.1.2.36	lactate aldolase	4.1.2
R00754	1.1.1.1	alcohol dehydrogenase	1.1.1
R00754	1.1.1.71	alcohol dehydrogenase [NAD(P)+]	1.1.1
R00755	4.1.1.1	pyruvate decarboxylase	4.1.1
R00756	2.7.1.11	6-phosphofructokinase	2.7.1
R00758	1.1.1.17	mannitol-1-phosphate 5-dehydrogenase	1.1.1
R00760	2.7.1.1	hexokinase	2.7.1
R00760	2.7.1.4	fructokinase	2.7.1
R00761	4.1.2.22	fructose-6-phosphate phosphoketolase	4.1.2
R00762	3.1.3.11	fructose-bisphosphatase	3.1.3
R00763	3.1.3.46	fructose-2,6-bisphosphate 2-phosphatase	3.1.3
R00764	2.7.1.90	diphosphate---fructose-6-phosphate 1-phosphotransferase	2.7.1
R00765	3.5.99.6	glucosamine-6-phosphate deaminase	3.5.99
R00766	2.4.1.14	sucrose-phosphate synthase	2.4.1
R00767	2.7.1.11	6-phosphofructokinase	2.7.1
R00768	2.6.1.16	glutamine---fructose-6-phosphate transaminase (isomerizing)	2.6.1
R00769	2.7.1.11	6-phosphofructokinase	2.7.1
R00770	2.7.1.11	6-phosphofructokinase	2.7.1
R00771	5.3.1.9	glucose-6-phosphate isomerase	5.3.1
R00772	5.3.1.8	mannose-6-phosphate isomerase	5.3.1
R00774	6.3.4.6	urea carboxylase	6.3.4
R00775	3.5.3.2	guanidinoacetase	3.5.3
R00776	4.3.2.3	ureidoglycolate lyase	4.3.2
R00777	3.5.3.14	amidinoaspartase	3.5.3
R00778	4.2.1.69	cyanamide hydratase	4.2.1
R00782	4.4.1.1	cystathionine gamma-lyase	4.4.1
R00782	4.4.1.13	cysteine-S-conjugate beta-lyase	4.4.1
R00782	4.4.1.28	L-cysteine desulfidase	4.4.1
R00787	1.7.1.4	nitrite reductase [NAD(P)H]	1.7.1
R00787	1.7.1.15	nitrite reductase (NADH)	1.7.1
R00789	1.7.1.4	nitrite reductase [NAD(P)H]	1.7.1
R00794	1.7.1.1	nitrate reductase (NADH)	1.7.1
R00794	1.7.1.2	nitrate reductase [NAD(P)H]	1.7.1
R00796	1.7.1.2	nitrate reductase [NAD(P)H]	1.7.1
R00796	1.7.1.3	nitrate reductase (NADPH)	1.7.1
R00799	1.7.3.1	nitroalkane oxidase	1.7.3
R00801	3.2.1.10	oligo-1,6-glucosidase	3.2.1
R00801	3.2.1.20	alpha-glucosidase	3.2.1
R00801	3.2.1.26	beta-fructofuranosidase	3.2.1
R00801	3.2.1.48	sucrose alpha-glucosidase	3.2.1
R00802	3.2.1.20	alpha-glucosidase	3.2.1
R00802	3.2.1.26	beta-fructofuranosidase	3.2.1
R00802	3.2.1.48	sucrose alpha-glucosidase	3.2.1
R00803	2.4.1.7	sucrose phosphorylase	2.4.1
R00805	3.1.3.24	sucrose-phosphate phosphatase	3.1.3
R00806	2.4.1.13	sucrose synthase	2.4.1
R00807	1.1.99.13	glucoside 3-dehydrogenase	1.1.99
R00809	2.4.1.167	sucrose 6F-alpha-galactosyltransferase	2.4.1
R00810	5.4.99.11	isomaltulose synthase	5.4.99
R00812	1.3.1.19	cis-1,2-dihydrobenzene-1,2-diol dehydrogenase	1.3.1
R00813	1.3.1.25	1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase	1.3.1
R00814	1.3.1.20	trans-1,2-dihydrobenzene-1,2-diol dehydrogenase	1.3.1
R00815	1.14.13.7	phenol 2-monooxygenase (NADPH)	1.14.13
R00816	1.13.11.2	catechol 2,3-dioxygenase	1.13.11
R00817	1.13.11.1	catechol 1,2-dioxygenase	1.13.11
R00818	1.14.13.1	salicylate 1-monooxygenase	1.14.13
R00821	4.1.1.46	o-pyrocatechuate decarboxylase	4.1.1
R00822	4.1.1.63	protocatechuate decarboxylase	4.1.1
R00823	1.14.12.1	anthranilate 1,2-dioxygenase (deaminating, decarboxylating)	1.14.12
R00825	1.14.12.1	anthranilate 1,2-dioxygenase (deaminating, decarboxylating)	1.14.12
R00827	2.1.1.6	catechol O-methyltransferase	2.1.1
R00828	1.14.13.31	2-nitrophenol 2-monooxygenase	1.14.13
R00829	2.3.1.16	acetyl-CoA C-acyltransferase	2.3.1
R00829	2.3.1.174	3-oxoadipyl-CoA thiolase	2.3.1
R00830	2.3.1.37	5-aminolevulinate synthase	2.3.1
R00832	2.3.1.109	arginine N-succinyltransferase	2.3.1
R00833	5.4.99.2	methylmalonyl-CoA mutase	5.4.99
R00834	1.1.1.200	aldose-6-phosphate reductase (NADPH)	1.1.1
R00835	1.1.1.49	glucose-6-phosphate dehydrogenase (NADP+)	1.1.1
R00835	1.1.1.363	glucose-6-phosphate dehydrogenase [NAD(P)+]	1.1.1
R00836	2.4.1.15	alpha,alpha-trehalose-phosphate synthase (UDP-forming)	2.4.1
R00837	3.2.1.93	alpha,alpha-phosphotrehalase	3.2.1
R00837	3.2.1.122	maltose-6'-phosphate glucosidase	3.2.1
R00838	3.2.1.122	maltose-6'-phosphate glucosidase	3.2.1
R00839	3.2.1.86	6-phospho-beta-glucosidase	3.2.1
R00841	3.1.3.21	glycerol-1-phosphatase	3.1.3
R00842	1.1.1.8	glycerol-3-phosphate dehydrogenase (NAD+)	1.1.1
R00842	1.1.1.94	glycerol-3-phosphate dehydrogenase [NAD(P)+]	1.1.1
R00844	1.1.1.94	glycerol-3-phosphate dehydrogenase [NAD(P)+]	1.1.1
R00845	1.1.1.177	glycerol-3-phosphate 1-dehydrogenase (NADP+)	1.1.1
R00846	1.1.3.21	glycerol-3-phosphate oxidase	1.1.3
R00847	2.7.1.30	glycerol kinase	2.7.1
R00848	1.1.5.3	glycerol-3-phosphate dehydrogenase	1.1.5
R00850	2.7.1.142	glycerol-3-phosphate---glucose phosphotransferase	2.7.1
R00853	2.4.1.137	sn-glycerol-3-phosphate 2-alpha-galactosyltransferase	2.4.1
R00854	2.4.1.96	sn-glycerol-3-phosphate 1-galactosyltransferase	2.4.1
R00855	3.6.1.16	CDP-glycerol diphosphatase	3.6.1
R00856	2.7.7.39	glycerol-3-phosphate cytidylyltransferase	2.7.7
R00858	1.8.1.2	assimilatory sulfite reductase (NADPH)	1.8.1
R00863	4.1.1.12	aspartate 4-decarboxylase	4.1.1
R00865	1.1.2.2	mannitol dehydrogenase (cytochrome)	1.1.2
R00866	2.7.1.3	ketohexokinase	2.7.1
R00867	2.7.1.1	hexokinase	2.7.1
R00867	2.7.1.4	fructokinase	2.7.1
R00868	1.1.1.11	D-arabinitol 4-dehydrogenase	1.1.1
R00868	1.1.1.67	mannitol 2-dehydrogenase	1.1.1
R00870	1.1.1.138	mannitol 2-dehydrogenase (NADP+)	1.1.1
R00871	1.1.1.124	fructose 5-dehydrogenase (NADP+)	1.1.1
R00872	3.1.3.-		3.1.3
R00874	1.1.99.28	glucose-fructose oxidoreductase	1.1.99
R00875	1.1.1.14	L-iditol 2-dehydrogenase	1.1.1
R00875	1.1.1.15	D-iditol 2-dehydrogenase	1.1.1
R00876	2.7.1.1	hexokinase	2.7.1
R00877	5.3.1.7	mannose isomerase	5.3.1
R00878	5.3.1.5	xylose isomerase	5.3.1
R00880	1.1.1.132	GDP-mannose 6-dehydrogenase	1.1.1
R00881	3.6.1.21	ADP-sugar diphosphatase	3.6.1
R00881	3.6.1.-		3.6.1
R00883	2.7.7.22	mannose-1-phosphate guanylyltransferase (GDP)	2.7.7
R00885	2.7.7.13	mannose-1-phosphate guanylyltransferase	2.7.7
R00888	4.2.1.47	GDP-mannose 4,6-dehydratase	4.2.1
R00889	5.1.3.18	GDP-mannose 3,5-epimerase	5.1.3
R00891	4.2.1.22	cystathionine beta-synthase	4.2.1
R00892	1.8.1.6	cystine reductase	1.8.1
R00893	1.13.11.20	cysteine dioxygenase	1.13.11
R00894	6.3.2.2	glutamate---cysteine ligase	6.3.2
R00895	2.6.1.1	aspartate transaminase	2.6.1
R00895	2.6.1.3	cysteine transaminase	2.6.1
R00896	2.6.1.1	aspartate transaminase	2.6.1
R00897	2.5.1.47	cysteine synthase	2.5.1
R00897	2.5.1.65	O-phosphoserine sulfhydrylase	2.5.1
R00899	3.4.11.1	leucyl aminopeptidase	3.4.11
R00899	3.4.11.2	membrane alanyl aminopeptidase	3.4.11
R00899	3.4.11.23	PepB aminopeptidase	3.4.11
R00899	3.4.13.-		3.4.13
R00900	1.8.1.9	thioredoxin-disulfide reductase	1.8.1
R00900	1.8.1.10	CoA-glutathione reductase	1.8.1
R00901	4.4.1.10	cysteine lyase	4.4.1
R00903	5.1.1.10	amino-acid racemase	5.1.1
R00904	1.2.1.3	aldehyde dehydrogenase (NAD+)	1.2.1
R00904	1.2.1.5	aldehyde dehydrogenase [NAD(P)+]	1.2.1
R00904	1.2.1.19	aminobutyraldehyde dehydrogenase	1.2.1
R00905	3.5.1.6	beta-ureidopropionase	3.5.1
R00906	1.5.1.26	beta-alanopine dehydrogenase	1.5.1
R00907	2.6.1.18	beta-alanine---pyruvate transaminase	2.6.1
R00908	2.6.1.19	4-aminobutyrate---2-oxoglutarate transaminase	2.6.1
R00908	2.6.1.55	taurine---2-oxoglutarate transaminase	2.6.1
R00909	3.5.1.21	N-acetyl-beta-alanine deacetylase	3.5.1
R00910	6.3.2.11	carnosine synthase	6.3.2
R00911	3.4.13.4	Xaa-Arg dipeptidase	3.4.13
R00912	6.3.2.11	carnosine synthase	6.3.2
R00913	3.5.3.17	guanidinopropionase	3.5.3
R00914	2.8.3.-		2.8.3
R00918	2.3.1.94	6-deoxyerythronolide-B synthase	2.3.1
R00919	1.3.1.84	acrylyl-CoA reductase (NADPH)	1.3.1
R00919	1.3.1.-		1.3.1
R00920	6.2.1.13	acetate---CoA ligase (ADP-forming)	6.2.1
R00921	2.3.1.8	phosphate acetyltransferase	2.3.1
R00921	2.3.1.222	phosphate propanoyltransferase	2.3.1
R00922	1.2.1.27	methylmalonate-semialdehyde dehydrogenase (CoA-acylating)	1.2.1
R00923	4.1.1.-		4.1.1
R00925	6.2.1.1	acetate---CoA ligase	6.2.1
R00925	6.2.1.17	propionate---CoA ligase	6.2.1
R00926	6.2.1.1	acetate---CoA ligase	6.2.1
R00926	6.2.1.17	propionate---CoA ligase	6.2.1
R00927	2.3.1.9	acetyl-CoA C-acetyltransferase	2.3.1
R00927	2.3.1.16	acetyl-CoA C-acyltransferase	2.3.1
R00928	2.8.3.1	propionate CoA-transferase	2.8.3
R00930	2.1.3.1	methylmalonyl-CoA carboxytransferase	2.1.3
R00931	2.3.3.5	2-methylcitrate synthase	2.3.3
R00932	2.3.3.11	2-hydroxyglutarate synthase	2.3.3
R00934	4.1.3.24	malyl-CoA lyase	4.1.3
R00935	1.2.1.27	methylmalonate-semialdehyde dehydrogenase (CoA-acylating)	1.2.1
R00936	1.5.1.3	dihydrofolate reductase	1.5.1
R00937	1.5.1.3	dihydrofolate reductase	1.5.1
R00939	1.5.1.3	dihydrofolate reductase	1.5.1
R00940	1.5.1.3	dihydrofolate reductase	1.5.1
R00941	1.5.1.6	formyltetrahydrofolate dehydrogenase	1.5.1
R00942	6.3.2.17	tetrahydrofolate synthase	6.3.2
R00943	6.3.4.3	formate---tetrahydrofolate ligase	6.3.4
R00944	3.5.1.10	formyltetrahydrofolate deformylase	3.5.1
R00945	2.1.2.1	glycine hydroxymethyltransferase	2.1.2
R00946	2.1.1.13	methionine synthase	2.1.1
R00947	3.1.3.10	glucose-1-phosphatase	3.1.3
R00948	2.7.7.27	glucose-1-phosphate adenylyltransferase	2.7.7
R00949	2.7.1.10	phosphoglucokinase	2.7.1
